,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,MARCTagCondition4,MARCTagCondition5,MARCTagCondition6,Unnamed: 23,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
43,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted in verse as work|is adapted in verse as work,,,,,,,,http://rdaregistry.info/Elements/w/P10023,is adapted in verse as work,,,,,
44,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as motion picture work|is adapted as motion picture work,,,,,,,,http://rdaregistry.info/Elements/w/P10025,is adapted as motion picture work,,,,,
45,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,cadenza work|has cadenza work,,,,,,,,http://rdaregistry.info/Elements/w/P10026,has cadenza work,,,,,
46,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,variations based on work|is variations based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10027,is variations based on work,,,,,
47,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,modified by variation as work|is modified by variation as work,,,,,,,,http://rdaregistry.info/Elements/w/P10028,is modified by variation as work,,,,,
48,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,cadenza composed for work|is cadenza composed for work,,,,,,,,http://rdaregistry.info/Elements/w/P10029,is cadenza composed for work,,,,,
49,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,libretto for work|is libretto for work,,,,,,,,http://rdaregistry.info/Elements/w/P10030,is libretto for work,,,,,
50,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,incidental music work|has incidental music work,,,,,,,,http://rdaregistry.info/Elements/w/P10031,has incidental music work,,,,,
51,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,remade as work|is remade as work,,,,,,,,http://rdaregistry.info/Elements/w/P10032,is remade as work,,,,,
52,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,set to music as work|is set to music as work,,,,,,,,http://rdaregistry.info/Elements/w/P10033,is set to music as work,,,,,
53,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as novel work|is adapted as novel work,,,,,,,,http://rdaregistry.info/Elements/w/P10034,is adapted as novel work,,,,,
54,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,issuing agent|has issuing agent,,,,,,,,http://rdaregistry.info/Elements/w/P10046,has issuing agent,,,,,
55,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,author agent|has author agent,,,,,,,,http://rdaregistry.info/Elements/w/P10061,has author agent,,,,,
56,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,creator agent of work|has creator agent of work,,,,,,,,http://rdaregistry.info/Elements/w/P10065,has creator agent of work,,,,,
57,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,sponsoring agent of work|has sponsoring agent of work,,,,,,,,http://rdaregistry.info/Elements/w/P10067,has sponsoring agent of work,,,,,
58,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as radio program work|is adapted as radio program work,,,,,,,,http://rdaregistry.info/Elements/w/P10076,is adapted as radio program work,,,,,
59,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,subseries|has subseries,,,,,,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
60,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as television program work|is adapted as television program work,,,,,,,,http://rdaregistry.info/Elements/w/P10085,is adapted as television program work,,,,,
61,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as video work|is adapted as video work,,,,,,,,http://rdaregistry.info/Elements/w/P10087,is adapted as video work,,,,,
62,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,abstracted in work|is abstracted in work,,,,,,,,http://rdaregistry.info/Elements/w/P10089,is abstracted in work,,,,,
63,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,indexed in work|is indexed in work,,,,,,,,http://rdaregistry.info/Elements/w/P10090,is indexed in work,,,,,
64,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as choreography work|is adapted as choreography work,,,,,,,,http://rdaregistry.info/Elements/w/P10091,is adapted as choreography work,,,,,
65,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,errata work|has errata work,,,,,,,,http://rdaregistry.info/Elements/w/P10092,has errata work,,,,,
66,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,illustrations work|has illustrations work,,,,,,,,http://rdaregistry.info/Elements/w/P10093,has illustrations work,,,,,
67,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as motion picture screenplay work|is adapted as motion picture screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10094,is adapted as motion picture screenplay work,,,,,
68,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as screenplay work|is adapted as screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10095,is adapted as screenplay work,,,,,
69,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as television screenplay work|is adapted as television screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10096,is adapted as television screenplay work,,,,,
70,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as video screenplay work|is adapted as video screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10097,is adapted as video screenplay work,,,,,
71,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as radio script work|is adapted as radio script work,,,,,,,,http://rdaregistry.info/Elements/w/P10098,is adapted as radio script work,,,,,
72,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,freely translated as work|is freely translated as work,,,,,,,,http://rdaregistry.info/Elements/w/P10099,is freely translated as work,,,,,
73,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,description of work|is description of work,,,,,,,,http://rdaregistry.info/Elements/w/P10100,is description of work,,,,,
74,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,subseries of|is subseries of,,,,,,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
75,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,issue of|is issue of,,,,,,,,http://rdaregistry.info/Elements/w/P10102,is issue of,,,,,
76,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,complemented by work|is complemented by work,,,,,,,,http://rdaregistry.info/Elements/w/P10103,is complemented by work,,,,,
77,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,screenplay for work|is screenplay for work,,,,,,,,http://rdaregistry.info/Elements/w/P10105,is screenplay for work,,,,,
78,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,incidental music for work|is incidental music for work,,,,,,,,http://rdaregistry.info/Elements/w/P10106,is incidental music for work,,,,,
79,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,abstracted as work|is abstracted as work,,,,,,,,http://rdaregistry.info/Elements/w/P10107,is abstracted as work,,,,,
80,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,augmented by work|is augmented by work,,,,,,,,http://rdaregistry.info/Elements/w/P10108,is augmented by work,,,,,
81,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,summarized as work|is summarized as work,,,,,,,,http://rdaregistry.info/Elements/w/P10109,is summarized as work,,,,,
82,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,catalogue work|has catalogue work,,,,,,,,http://rdaregistry.info/Elements/w/P10110,has catalogue work,,,,,
83,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,concordance work|has concordance work,,,,,,,,http://rdaregistry.info/Elements/w/P10111,has concordance work,,,,,
84,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,addenda work|has addenda work,,,,,,,,http://rdaregistry.info/Elements/w/P10112,has addenda work,,,,,
85,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,adapted as libretto work|is adapted as libretto work,,,,,,,,http://rdaregistry.info/Elements/w/P10113,is adapted as libretto work,,,,,
86,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,work reviewed in|is work reviewed in,,,,,,,,http://rdaregistry.info/Elements/w/P10114,is work reviewed in,,,,,
87,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,work critiqued in|is work critiqued in,,,,,,,,http://rdaregistry.info/Elements/w/P10115,is work critiqued in,,,,,
88,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,work commentary in|is work commentary in,,,,,,,,http://rdaregistry.info/Elements/w/P10116,is work commentary in,,,,,
89,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,imitated as work|is imitated as work,,,,,,,,http://rdaregistry.info/Elements/w/P10117,is imitated as work,,,,,
90,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,work described in|is work described in,,,,,,,,http://rdaregistry.info/Elements/w/P10118,is work described in,,,,,
91,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,a,Meeting name or jurisdiction name as entry element (NR),,,,expanded as work|is expanded as work,,,,,,,,http://rdaregistry.info/Elements/w/P10119,is expanded as work,,,,,
